cod_geo,País,Sigla,Institución,Nombre de la Iniciativa,Área,"Política, Planes, Programas, Iniciativas/Proyectos",Fecha,Finalidad,Descripción,Link ,Link 2
AR,Argentina,AR,"Ministerio de las Mujeres, Géneros y Diversidad",Capacitamos a las máximas autoridades del Ministerio de Seguridad y de las Fuerzas Federales en el marco de la Ley Micaela,Violencia Doméstica/VIF,Proyectos/Iniciativas,19/05/2020,Prevención,Capacitación obligatoria para la sensibilización en cuestiones de género y violencia de género para las máximas autoridades del Ministerio de Seguridad de la Nación y de las cuatro fuerzas de seguridad nacionales.,https://www.argentina.gob.ar/noticias/capacitamos-las-maximas-autoridades-del-ministerio-de-seguridad-y-de-las-fuerzas-federales,
PE,Perú,PE,Ministerio de la Mujer y Poblaciones Vulnerables,Cartilla de orientación para casos de violencia hacia las mujeres e integrantes del grupo familiar durante el COVID-19,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/06/2020,Prevención,Cartilla de orientación para casos de violencia hacia las mujeres e integrantes del grupo familiar durante la cuarentena.,https://cdn.www.gob.pe/uploads/document/file/701489/Cartilla_de_orientacio%CC%81n_para_casos_de_violencia_COVID-19.pdf,
CL,Chile,CL,Subsecretaría de Prevención del delito,Casos policiales por delitos de mayor connotación social (DMCS) y violencia intrafamiliar,Violencia Doméstica/VIF,Productos/Recursos,01/07/2020,Información estadística,Casos policiales y personas aprehendidas por delitos de mayor connotación social y violencia intrafamiliar.,http://cead.spd.gov.cl/wp-content/uploads/file-manager/Presentaci%C3%B3n-Estad%C3%ADsticas-2do-trim-2020.pdf,
UY,Uruguay,UY,Ministerio de Desarrollo Social ,Centro de Atención para mujeres por violencia de género durante la pandemia por COVID-19,Violencia Doméstica/VIF,Proyectos/Iniciativas,29/03/2020,Prevención,Contiene números telefónicos y direcciones de los centros de atención. Los horarios de atención pueden cambiar según servicio. ,http://guiaderecursos.mides.gub.uy/mides/guiarecurso/templates/recurso_puertas.jsp?contentid=27548&channel=innova.front&site=1,
SV,El Salvador,SV,Órgano Judicial,Centro de atención telefónico 24H - Línea 198,Violencia Doméstica/VIF,Proyectos/Iniciativas,21/04/2020,Atención y respuesta,"Número #198 para atención y orientación judicial sobre casos de violencia intrafamiliar, 7 días a la semana, 24 horas. ",http://www.csj.gob.sv/198_CSJ.html,
CL,Chile,CL,Servicio Nacional de la Mujer y la Equidad de Género,Chat 1455,Violencia Doméstica/VIF,Proyectos/Iniciativas,21/04/2020,Atención y respuesta,"Chat 1455 de atención las 24 horas del día, los siete días de la semana, a través de cual se puede acceder a información relevante sobre qué hacer en situaciones de violencia de pareja y, en caso de peligro, se realiza el aviso inmediato a Carabineros de Chile para ir en su ayuda. ",https://www.sernameg.gob.cl/?p=31210,
MX,México,MX,Secretaría de la Función Pública,Ciberbullying,Ciberbullying,Proyectos/Iniciativas,-,Prevención,"Desde el 2017, se cuenta con una página web exclusiva para informar, prevenir y orientar sobre el ciberbullying y dónde denunciar.",https://www.gob.mx/ciberbullying,http://clicseguro.sep.gob.mx/
MX,México,MX,"Sistema Nacional de Protección Integral de Niñas, Niños y Adolescentes",Ciberseguridad y prevención de las violencias contra niñas y adolescentes,Ciberbullying,Proyectos/Iniciativas,23/04/2020,Prevención,"Conversatorio ""Ciberseguridad y prevención de las violencias contra niñas y adolescentes"". El ciclo de Conversatorios aporta la opinión de expertas y expertos en distintos campos sobre cómo afecta la contingencia COVID-19 a las familias y entrega posibles soluciones. Se enfatiza la importancia de niñas, niños y adolescentes. ",https://www.facebook.com/SIPINNAMX/videos/178950903223203/,
CO,Colombia,CO,Ministerio de las Tecnologías de la Información y las Comunicaciones,"Ciclo de charlas lúdicas ""En TIC Confío""",Ciberbullying,Proyectos/Iniciativas,08/07/2020,Prevención,"El ciclo de charlas lúdicas ""En TIC Confío"" son espacios de aprendizaje y empoderamiento digital para el uso seguro y responsable de las TIC. Los encuentros son liderados por embajadores regionales y expertos en seguridad y cuidado en redes sociales, quienes explican cuáles son los riesgos propios del entorno digital. La iniciativa permite que adolescentes entre 12 y 18 años conozcan, identifiquen, prevengan y denuncien el grooming, el ciberacoso, el sexting, la ciber dependencia y el material de explotación sexual.",https://www.enticconfio.gov.co/un-millon-de-colombianos-aprenderan-sobre-el-uso-seguro-y-responsable-del-entorno-digital-ministra-karen-abudinen,
UY,Uruguay,UY,Observatorio de Género ,Cifras del primer cuatrismestre violencia doméstica ,Violencia Doméstica/VIF,Productos/Recursos,01/04/2020,Información estadística,Variación de delitos de violencia doméstica  entre el 2019 y 2020. Información suministrada en jpeg.,https://www.minterior.gub.uy/images/2020/July/Nota_Juan.jpg,
UY,Uruguay,UY,Órgano Judicial,Circular No. 51/2020  de la Suprema Corte de Justicia,Violencia Doméstica/VIF,Proyectos/Iniciativas,02/04/2020,Atención y respuesta,"La Suprema Corte de Justicia remitió las recomendaciones del Instituto Nacional de las Mujeres donde se solicita que den prioridad a los vencimientos de medidas cautelares especiales, así como la adopción de medidas de protección. ",https://www.poderjudicial.gub.uy/novedades/noticias-institucionales/item/6476-inmujeres-pide-que-jueces-prioricen-prorrogas-en-la-proteccion-a-mujeres-y-menores-vulnerados.html,
#N/D,Organismo Internacional ,OI,ONU Mujeres,Cómo contribuir a crear espacios y hogares igualitarios ante la emergencia por COVID-19. Recomendaciones y orientaciones prácticas para hombres,Violencia Doméstica/VIF,Productos/Recursos,12/07/1905,Recomendaciones,"#HeForSheEnCasa es una campaña que promueve la creación de espacios igualitarios y libres de violencia en el hogar. A través de esta guía, los hombres guatemaltecos pueden encontrar información sobre los beneficios de asumir su responsabilidad en este ámbito.",https://lac.unwomen.org/es/digiteca/publicaciones/2020/05/heforsheencasa-guatemala,
#N/D,Organismo Internacional ,OI,UNICEF - Colombia,Cómo moverte de forma segura en línea mientras estás en casa durante el brote de COVID-19,Violencia Doméstica/VIF,Productos/Recursos,-,Prevención,"Cinco recomendaciones para ayudar a niñas, niños y adolescentes (de 10 a 19 años) a que sus experiencias en línea sean seguras y positivas.",https://ciberconscientes.com/muevete-de-forma-segura-en-linea/,
HN,Honduras,HN,Policía Nacional,Comunicado Secretaria de Seguridad de la Policía Nacional,Violencia Doméstica/VIF,Proyectos/Iniciativas,27/03/2020,Atención y respuesta,"La Secretaría de Seguridad de la Policía Nacional de Honduras determina sólo recibir denuncias por delitos en flagrancia, violencia doméstica y violencia intrafamiliar y desaparecidos. ",https://www.policianacional.gob.hn/noticias/5984,
CL,Chile,CL,"Comunidad Mujer, Iniciativa de Paridad de Género Chile ",Comunidad IPG Chile frente al COVID-19: Intercambio de Buenas Prácticas con enfoque de género ,Violencia Doméstica/VIF,Productos/Recursos,01/04/2020,Prevención,"Documento que sintetiza Buenas Prácticas con enfoque de género realizadas por 38 empresas en Chile, en el contexto de pandemia por COVID-19. El documento incluye recomendaciones especiales para abordar la violencia intrafamiliar y las responsabilidades domésticas y de cuidado.",https://iniciativaparidadgenero.cl/wp-content/uploads/2020/04/2020_04_23-IPG-COVID19.pdf,
CO,Colombia,CO,Ministerio de Tecnologías de la Información y las Comunicaciones,Convivencia Digital: Campañas de Buenas prácticas Digitales,Ciberbullying,Planes y Programas,27/03/2020,Prevención,Programa que tiene por objetivo promover buenas práctica digitales a la población digital a través de campañas y capacitaciones que informan al público del uso adecuado y riesgos de las redes sociales. ,https://www.instagram.com/p/B_dZDz0HO0A/,https://www.enticconfio.gov.co/convivencia-digital/
BR,Brasil,BR,Tribunal de Justicia del Distrito Federal y territorios,"Cuestionario ""¿Respetas a las mujeres?""",Violencia Doméstica/VIF,Productos/Recursos,15/07/2020,Prevención,"Cuestionario dirigido a la población masculina, con o sin antecedentes de violencia contra las mujeres, que le permite al encuestado la autoidentificación de prácticas violentas contra las mujeres en su comportamiento diario. ",https://www.tjdft.jus.br/institucional/imprensa/noticias/arquivos/questionario_homens.pdf,
PE,Perú,PE,Ministerio de Educación,Curso de Digital,Ciberbullying,Proyectos/Iniciativas,21/07/2020,Prevención,"Herramientas para docentes, Curso Alfabetización digital. Orientaciones para prevenir el ciberbullying desde el hogar. ",http://www.minedu.gob.pe/mineduwillakun/page.php?id=41,
CL,Chile,CL,Servicio Nacional de Capacitación y Empleo,Curso en línea Ciberseguridad en entornos de aprendizaje digital,Ciberbullying,Proyectos/Iniciativas,01/05/2020,Prevención,"Cursos gratuito impartido en línea por la alianza entre Sence y Fundación Telefónica Movistar. El curso contempla el estudio de los riesgos asociados al uso de las tecnologías, protección de dispositivos, datos personales e identidad digital, el ciberacoso, la adicción a las tecnologías y el impacto de la tecnología en el medio ambiente. ",https://sence.gob.cl/personas/noticias/tecnologia-y-entornos-digitales-marcan-los-cuatro-nuevos-cursos-en-linea-sin-costo-de-sence-y-movistar-0,
MX,México,MX,Secretaría de Salud Pública,Curso en línea gratuito para la atención de la violencia familiar en el contexto del COVID-19,Violencia Doméstica/VIF,Proyectos/Iniciativas,30/05/2020,Prevención,"Curso que tiene por finalidad brindar herramientas para la intervención en casos de violencia familiar durante la pandemia por COVID-19. El curso está dirigido a profesionistas de psicología, medicina, trabajo social y enfermería.",http://www.cij.gob.mx/galeriacursoscapacitacion2020/cartel_atenviofam.pdf,
MX,México,MX,Secretaría de Educación,"Curso en línea: ""Actúa frente al Ciberbullying""",Ciberbullying,Proyectos/Iniciativas,01/06/2020,Prevención,"Curso en línea sobre prevención, detección y actuación frente al ciberbullying dirigido a personal educativo. Forma parte de la oferta de capacitación a docentes de @prende.mx y Televisión Educativa de la Secretaría de Educación Pública (SEP). Cupo para 50.000 participantes y fechas de capacitación entre el 22 de mayo y el 6 de julio de 2020. ",http://formacionycapacitaciondigitales.televisioneducativa.gob.mx/actua-frente-al-ciberbullying/,
BR,Brasil,BR,"Ministério Da Mulher, Da Família e Dos direitos Humanos","Curso gratuito ""Violencia doméstica y familiar contra las mujeres durante el aislamiento social""",Violencia Doméstica/VIF,Proyectos/Iniciativas,01/06/2020,Prevención,"Curso gratuito dirigido, principalmente, a las instituciones que conforman la red de servicios de la mujer. El curso aborda los conceptos básicos del proceso de violencia doméstica, la legislación, las herramientas de evaluación de riesgos, los impactos pandémicos, la importancia de la creación de redes, la revictimización de la atención y las cuestiones relacionadas con la comunicación externa de la violencia.",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/junho/ministerio-lanca-curso-sobre-violencia-contra-a-mulher-durante-o-isolamento-social,
BO,Bolivia ,BO,Defensoría del Pueblo,Curso virtual “Prevención de la Violencia de Género”,Violencia Doméstica/VIF,Proyectos/Iniciativas,30/03/2020,Prevención,"Este curso virtual tiene por objetivo que la población en general identifique las causas de la violencia de género y sus formas de prevención; conozca los mecanismos de protección y sanción ante este delito; e, incida para que quienes son víctimas de violencia puedan denunciarla en los canales disponibles para tales efectos.",https://www.defensoria.gob.bo/noticias/defensoria-del-pueblo-habilita-cursos-virtuales-para-promover-la-prevencion-de-la-violencia-de-genero-y-la-adopcion,
BO,Bolivia ,BO,Ministerio Público,Cursos virtuales de especialización sobre medidas de protección y delitos de violencia sexual,Violencia Doméstica/VIF,Proyectos/Iniciativas,19/05/2020,Prevención,"Cursos de Especialización en la Actuación para Medidas de Protección, Investigación, Sanción y Reparación Integral de daños en Delitos de Violencia Sexual y en Razón de Género. Las capacitaciones buscan unificar criterios y aclarar dudas en cuanto a la investigación y persecución penal, bajo un enfoque de género por el aumento de casos durante la pandemia. ",https://www.fiscalia.gob.bo/index.php/noticias/3436-fiscalia-inicia-cursos-virtuales-de-especializacion-sobre-medidas-de-proteccion-y-delitos-de-violencia-sexual,
AR,Argentina,AR,Corte Suprema de Justicia,Datos abiertos de la Oficina de Violencia Doméstica,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/12/2019,Información estadística,Datos abiertos de la Oficina de Violencia Doméstica correspondientes a 2019.,http://datos.csjn.gov.ar/dataset/violencia-domestica,
TT,Trinidad y Tobago,TT,Police Service ,Datos dinámicos sobre delitos al 2020,Violencia Doméstica/VIF,Productos/Recursos,-,Información estadística,Datos dinámicos sobre delitos al 2020.,http://www.ttps.gov.tt/Statistics/Comparative-Chart,
GT,Guatemala,GT,Observatorio de las Mujeres  - Ministerio Público,Datos estadísticos sobre la línea de atención exclusiva para violencia contra las mujeres,Violencia Doméstica/VIF,Productos/Recursos,21/08/2020,Información estadística,Datos estadísticos sobre la línea de atención exclusiva para violencia contra las mujeres.,http://observatorio.mp.gob.gt/linea-1572/,
CO,Colombia,CO,Consejería Presidencial para la Equidad de la Mujer,"Décimo quinto boletín sobre la atención de líneas de atención telefónica a mujeres en el contexto de medidas de aislamiento preventivo por SARS-CoV-2, en Colombia",Violencia Doméstica/VIF,Proyectos/Iniciativas,06/07/2020,Información estadística,Análisis sobre el comportamiento de las llamadas recibidas a través de la línea de atención a mujeres en situaciones de violencia 1551 entre el 25 de marzo y el 2 de julio de 2019 y 2020.,http://www.equidadmujer.gov.co/oag/Documents/linea-155-boletin-15.pdf,
PE,Perú,PE,Presidencia de la República,Decreto Legislativo No. 1470. Establece medidas para garantizar la atención y protección de las víctimas de violencia contra las mujeres y los integrantes del grupo familiar durante la emergencia sanitaria declarada por el COVID-19,Violencia Doméstica/VIF,Política/Ley,26/04/2020,Integral,"Decreto legislativo que establece medidas para garantizar la atención y protección de las víctimas de violencia contra las mujeres y los integrantes del grupo familiar durante la emergencia sanitaria por COVID-19.  Entre las medidas están: medidas que garantizan la atención de las mujeres como mantenimiento y continuidad de los servicios, medidas que garantizan las condiciones para dictar medidas de protección y/o cautelares con la información que se tenga disponible, utilización de cualquier recurso tecnológico para comunicarse con la víctima, brindar información y notificar en el acto a la Comisaría para su ejecución, extensión de plazos y cómputo en los procesos iniciados durante la emergencia sanitaria para procedimientos de riesgo y desprotección familiar mientras dura la emergencia, medidas que garantizan que los casos de violencia sean atendidos en un plazo no mayor de 24 horas y utilización de los canales y sistemas de comunicación de emergencia. ",https://busquedas.elperuano.pe/normaslegales/decreto-legislativo-que-establece-medidas-para-garantizar-la-decreto-legislativo-n-1470-1865791-1/,
PE,Perú,PE,Poder Judicial,Decreto legislativo que establece medidas para garantizar la atención y protección de las víctimas de violencia contra las mujeres y los integrantes del grupo familiar durante la emergencia sanitaria por COVID-19,Violencia Doméstica/VIF,Proyectos/Iniciativas,15/05/2020,Sanción,"El decreto legislativo tiene por objeto establecer medidas específicas para reforzar la actuación del Poder Judicial y garantizar, así, la atención de casos de violencia contra las mujeres e integrantes del grupo familiar durante la emergencia sanitaria ocasionada por el COVID-19. Las medidas incluyen habilitar los Juzgados de familia para tramitar procesos relacionados a medidas protección y/o cautelares, posibilitar la presentación de denuncias por correo electrónico, disponer de turnos de 24 horas en los juzgados de familia para atender denuncias contra la mujer e integrantes del grupo familiar que ingresen en fines de semana o días no laborales, autorizar trabajo remoto para Juzgados de familia y salas de familia y disponer que las notificaciones emitidas en los procesos  puedan enviarse por medio de la casilla electrónica o, en su defecto, cualquier medio de comunicación incluyendo WhatsApp, camscanner o similar.",https://observatorioviolencia.pe/wp-content/uploads/2020/05/1866366-1.pdf ;  https://www.pj.gob.pe/wps/wcm/connect/cortesuperiorlimapjcs/s_csj_lima_nuevo/as_inicio/as_imagen_prensa/as_noticias/csjli_n_violencia_contra_mujer_whatsapp_190520,
PE,Perú,PE,Presidencia de la República,Decreto No. 023-2020 de Urgencia que crea mecanismos de prevención de la violencia contra las mujeres e integrantes del grupo familiar,Violencia Doméstica/VIF,Planes y Programas,08/05/2020,Sanción,"El decreto tiene por objeto establecer mecanismo de prevención de la violencia contra las mujeres e integrantes del grupo familiar, desde el conocimiento de los antecedentes policiales, con la finalidad que las personas puedan tomar una decisión informada respecto a su proyecto de vida, cautelando su derecho fundamental a la integridad y a una vida libre de violencia.",https://busquedas.elperuano.pe/download/url/decreto-de-urgencia-que-crea-mecanismos-de-prevencion-de-la-decreto-de-urgencia-n-023-2020-1848881-2,https://observatorioviolencia.pe/wp-content/uploads/2020/05/Decreto-de-Urgencia-023-2020-que-crea-mecanismos-de-prevenci%C3%B3n-de-la-violencia-contra-las-mujeres-e-integrantes-del-grupo-familiar-desde-el-conocimiento-de-los-antecedentes-policiales.pdf
CO,Colombia,CO,Presidencia de la República,"Decreto No. 460 de 22 de marzo de 2020. Medidas para garantizar la prestación del servicio a cargo de las comisarias de familia, dentro del Estado de Emergencia Económica, Social y Ecológica",Violencia Doméstica/VIF,Política/Ley,22/03/2020,Atención y respuesta,"Establece servicios ininterrumpidos de la comisaría de familia, la obligación de generar protocolos de atención, establecer criterios de priorización, generar mecanismos de articulación entre otros. ",https://www.minjusticia.gov.co/Portals/0/Normatividad1/ActosAdministrativos/Decretos/2020/DECRETO%20460%20DEL%2022%20DE%20MARZO%20DE%202020.pdf,
BO,Bolivia ,BO,Ministerio Público ,Delitos de la Ley 348,Violencia Doméstica/VIF,Productos/Recursos,17/08/2020,Información estadística,Estadísticas durante cuarentena.,https://www.fiscalia.gob.bo/index.php/estadisticas/137-violencia-familiar-o-domestica,
PA,Panamá,PA,Ministerio Público ,Delitos de violencia doméstica,Violencia Doméstica/VIF,Productos/Recursos,01/07/2020,Información estadística,"Estadísticas mensuales de violencia doméstica. Segundo link, variación porcentual de violencia de violencia doméstica. Año 2019 y 2020.",https://ministeriopublico.gob.pa/estadisticas-judiciales/violencia-domestica/,
CO,Colombia,CO,Sistema Integrado de Información sobre Violencia de Género,Delitos de violencia doméstica,Violencia Doméstica/VIF,Productos/Recursos,14/08/2020,Información estadística,Visualización de delitos de violencia doméstica por año y tipo de violencia.,https://app.powerbi.com/view?r=eyJrIjoiNWQ0NTA4NmEtMjdiYi00MmUyLWE4Y2YtMGU4NzYxNTBhY2EwIiwidCI6ImE2MmQ2YzdiLTlmNTktNDQ2OS05MzU5LTM1MzcxNDc1OTRiYiIsImMiOjR9,
EC,Ecuador,EC,Fiscalía General del Estado,Denuncias por delitos relacionados a violencia contra las mujeres y su núcleo familiar de forma virtual,Violencia Doméstica/VIF,Proyectos/Iniciativas,20/04/2020,Atención y respuesta,La Fiscalía General del Estado (FGE) abrió la posibilidad de interponer a través de su página web www.fiscalia.gob.ec denuncias por delitos relacionados a violencia contra las mujeres y su núcleo familiar.,https://www.fiscalia.gob.ec/denuncia-en-linea-violencia-contra-la-mujer/,
PY,Paraguay,PY,Ministerio Público,Diálogo Técnico Subregional sobre Violencia Intrafamiliar en el contexto del COVID-19,Violencia Doméstica/VIF,Proyectos/Iniciativas,29/04/2020,Prevención,El Ministerio Público de Paraguay participó del Dialogo Técnico Subregional “Abordaje Policial y Judicial a la Violencia Intrafamiliar en el Contexto del COVID-19”.,https://ministeriopublico.gov.py/nota/ministerio-publico-participo-via-teleconferencia-del-dialogo-tecnico-subregional-sobre-violencia-intrafamiliar-en-el-contexto-del-covid-19-5373,
MX,México,MX,Secretaría de Gobernación,"Diálogo virtual: ""Prevenir es convivir""",Violencia Doméstica/VIF,Proyectos/Iniciativas,19/05/2020,Prevención,"El  evento forma parte de un esquema denominado Diálogos Virtuales sobre temas que ha impulsado la Secretaría de Gobernación a través del Instituto Nacional para el Federalismo y el Desarrollo Municipal (Inafed) durante la coyuntura como un nuevo modelo de capacitación para las personas servidoras públicas estatales y municipales, a fin de acercar el conocimiento a quienes participan en la administración pública local. Se abordó la importancia de erradicar la violencia contra las mujeres y en segundo lugar las labores y tareas compartidas en el hogar. ",https://www.gob.mx/segob/prensa/pandemia-por-covid-19-puso-en-el-centro-la-erradicacion-de-las-violencias-y-tareas-compartidas-entre-mujeres-y-hombres-olga-sanchez-cordero,
CO,Colombia,CO,Ministerio de las Tecnologías de la Información y las Comunicaciones,Diez recomendaciones para incentivar la navegación segura en Internet y las redes sociales durante esta temporada en casa,Ciberbullying,Proyectos/Iniciativas,07/04/2020,Prevención,"El Ministerio de Tecnologías de la Información y las Comunicaciones, a través del programa de En TIC Confío, presenta 10 recomendaciones para incentivar la navegación segura en Internet y las redes sociales.",https://www.enticconfio.gov.co/convivenciadigital/login/MOD3/1.1%20Mo%CC%81dulo3_1.pdf,
JM,Jamaica,JM,"Minister of Culture, Gender, Entertaiment and Sport",Difusión de líneas de emergencias y medidas prácticas para las víctimas de abuso doméstico,Violencia Doméstica/VIF,Proyectos/Iniciativas,27/05/2020,Atención y respuesta,"Se han establecido dos centros en las Comisarías de Policía de Constant Spring y Matilda's Corner. Ofrecen asesoramiento profesional, referencias a agencias apropiadas y seguimientos con los clientes. Se puede llegar a los centros en los siguientes números – Policía de Constant Spring : 876-702-5120 o 876-702-5121; Policía de Matilda's Corner: 876-978-6003. Su horario de atención es de 8 a.m. a 5 p.m. de lunes a viernes.",https://www.facebook.com/permalink.php?story_fbid=2977796168983051&id=888408944588461,
#N/D,Organismo Internacional ,OI,ONU Mujeres,"Educación, Género y COVID-19. Consecuencias para niñas y adolescentes",Violencia Doméstica/VIF,Productos/Recursos,-,Recomendaciones,Análisis regional de impacto del COVID-19 en niñas y adolescentes. Respuestas desde el sector educativo.,https://www2.unwomen.org/-/media/field%20office%20americas/documentos/publicaciones/2020/07/infografia_educacion_genero_y_covid.pdf?la=es&vs=3258,
EC,Ecuador,EC,Sistema Integrado de Información ECU 911,Emergencias coordinadas de violencia intrafamiliar,Violencia Doméstica/VIF,Productos/Recursos,-,Información estadística,Emergencias coordinadas de violencia intrafamiliar.,https://app.powerbi.com/view?r=eyJrIjoiMTRiZGFiMzQtMjdlZS00YTI4LWE2MWUtNDllNzcwZDdhNzA3IiwidCI6IjczOWQ4ZGFiLWJjZDEtNDc0NS05Y2JkLWNlZGI0OTE3ZWNjNCIsImMiOjR9,
JM,Jamaica,OI,UNICEF - Jamaica,Encuesta de violencia doméstica en COVID-19.  Spotlight,Violencia Doméstica/VIF,Productos/Recursos,03/06/2020,Integral,"Encuesta sobre violencia doméstica durante COVID-19. Preguntas relativas a motivaciones para denunciar, prevalencia y relación de padres e hijos. ",https://blogs.unicef.org/jamaica/young-jamaicans-respond-to-domestic-abuse-in-covid-19/,
MX,México,MX,"Red Nacional de Difusores de los Derechos de Niñas, Niños y Adolescentes","Encuesta: ""El uso seguro de Internet desde la mirada de niñas, niños y adolescentes""",Ciberbullying,Proyectos/Iniciativas,06/06/2020,Información estadística,"Encuesta enviada a las 32 entidades federativas del país con cuatro preguntas clave en el marco del Conversatorio sobre ""Políticas Públicas en el uso seguro de Internet para niños, niñas y adolescentes"". El total fue de 330 encuestas de niñas, niños y adolescentes de los estados de Campeche, Estado de México, Hidalgo, Jalisco, Morelos, Nuevo León, Querétaro, San Luis Potosí, Sonora y Tlaxcala.",http://sitios1.dif.gob.mx/difusoresnacionales/wp-content/uploads/2020/06/El-uso-seguro-de-Internet-desde-la-mirada-de-ninas-ninos-y-adolescentes.pdf,
AR,Argentina,AR,Ministerio de Justicia y Derechos Humanos,Encuestas telefónicas sobre Política Criminal,Violencia Doméstica/VIF,Proyectos/Iniciativas,03/08/2020,Información estadística,Aplicación de una encuesta nacional sobre violencia contra las mujeres.,https://www.argentina.gob.ar/justicia/encuestas-telefonicas-sobre-politica-criminal,
BR,Brasil,BR,"Ministerio de la Mujer, Familia y Derechos Humanos",Enfrentando a violência doméstica e familiar contra a mulher,Violencia Doméstica/VIF,Productos/Recursos,01/05/2020,Prevención,"Guía informativa acerca de la violencia doméstica y familiar: definición y tipología, factores de riesgo y protección asociados, impactos en la salud y bienestar de quienes están y viven situaciones de violencia doméstica, legislación vigente y redes de atención y/o denuncia. ",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/maio/cartilha-auxilia-mulheres-no-enfrentamento-a-violencia/Cartilhaenfrentamento_QRCODE1.pdf,
BR,Brasil,BR,"Ministério Da Mulher, Da Família e Dos direitos Humanos",Enfrentando a violência on-line contra adolescentes no contexto da pandemia de COVID-19,Ciberbullying,Proyectos/Iniciativas,20/08/2020,Prevención,"Esta publicación tiene por objetivo orientar a los y las adolescentes a navegar con mayor seguridad en Internet. La publicación permite conocer qué es la violencia en línea, tipos de violencia en línea, cifras nacionales de violencia en línea, medidas de seguridad y lugares de apoyo y denuncia.",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/agosto/68ENFRENTANDO_VIOLENCIA_ONLINE.pdf,
AR,Argentina,AR,"Secretaría Nacional de Niñez, Adolescencia y Familia",Entrá y Divertite: Guía de recomendaciones y recursos para adolescentes,Ciberbullying,Productos/Recursos,06/04/2020,Prevención,"Recomendaciones y actividades para hacer en cuarentena. El recurso indica dónde denunciar actos de violencia e informarse sobre el ciberbullying, sexting y otros.",https://www.argentina.gob.ar/sites/default/files/guia_-_entra_y_divertite.pdf,
CR,Costa Rica,CO,Observatorio de Violencia de Género contra las Mujeres y Acceso a la justicia - Poder Judicial,Estadística de casos y sentencias sobre violencia doméstica y violencia sexual ,Violencia Doméstica/VIF,Productos/Recursos,-,Información estadística,Estadística de casos y sentencias sobre violencia doméstica y violencia sexual.,https://observatoriodegenero.poder-judicial.go.cr/index.php/soy-especialista-y-busco/estadisticas/violencia-domestica,
BO,Bolivia ,BO,Ministerio Público ,Estadísticas de feminicidio,Violencia Doméstica/VIF,Productos/Recursos,17/08/2020,Información estadística,Estadísticas de feminicidio.,https://www.fiscalia.gob.bo/index.php/estadisticas/125-feminicidios,
EC,Ecuador,EC,Ministerio de Gobierno,"Estadísticas de robos, homicidios y femicidios",Violencia Doméstica/VIF,Productos/Recursos,-,Información estadística,"Estadísticas de robos, homicidios y femicidios.",http://cifras.ministeriodegobierno.gob.ec/comisioncifras/inicio.php#,
EC,Ecuador,EC,Fiscalía General de la Nación,Estadísticas de violencia contra la mujer,Violencia Doméstica/VIF,Productos/Recursos,30/06/2020,Información estadística,Estadísticas de violencia contra la mujer que contienen las cifras de femicidios actualizadas a junio de 2020.,https://www.fiscalia.gob.ec/conformacion-del-subcomite-tecnico-de-validacion-de-femicidios/,
CL,Chile,CL,Subsecretaría de Prevención del delito,Estadísticas delictuales,Violencia Doméstica/VIF,Productos/Recursos,-,Información estadística,"Estadísticas Oficiales de Delitos de Mayor Connotación Social (DMCS), Violencia Intrafamiliar (VIF), Incivilidades y otros hechos.",http://cead.spd.gov.cl/estadisticas-delictuales/,
CO,Colombia,CO,Observatorio de Violencia contra la mujer - Instituto de Mediacional Legal y Ciencias Forenses,Estadísticas en tiempos de COVID-19,Violencia Doméstica/VIF,Productos/Recursos,18/08/2020,Información estadística,"Violencias Fatales y No Fatales según año y sexo de la víctima. Colombia, comparativo marzo 25 a Agosto 18, años 2019 y 2020.",https://www.medicinalegal.gov.co/violencias-en-tiempos-de-covid,
PE,Perú,PE,Poder Judicial ,Estadísticas Feminicidios durante Covid-19,Violencia Doméstica/VIF,Productos/Recursos,-,Información estadística,Estadísticas de feminicidios durante la pandemia por COVID-19.,https://agenciafiscal.pe/Storage/modsnw/pdf/13510-d5Na0Mt2Yk7Tt1C.pdf,
BR,Brasil,BR,Ministerio de la Mujer,Estadísticas sobre violencia doméstica,Violencia Doméstica/VIF,Productos/Recursos,-,Información estadística,Estadísticas de violencia doméstica a partir de denuncias recibidas desde 01 de marzo de 2020. ,https://ouvidoria.mdh.gov.br/portal/indicadores,
CL,Chile,CL,Fiscalía,Estadísticas y delitos entre enero y junio de 2020,Violencia Doméstica/VIF,Productos/Recursos,01/06/2020,Información estadística,Estadísticas y delitos entre enero y junio de 2020.,http://www.fiscaliadechile.cl/Fiscalia/archivo?id=41802&pid=236&tid=1&d=1,
