Fecha,País,Nombre de la Iniciativa,"Política, Planes, Programas, Iniciativas/Proyectos",Descripción,link
06/07/2020,Colombia,Sistema de Prevención Temprana de violencias contra las mujeres,Planes y Programas,"El Sistema de Prevención Temprana se basará en la aplicación del ‘Protocolo de riesgo feminicida’, del Instituto Nacional de Medicina Legal. Además, se articulará con la Sala de Monitoreo y Respuesta Rápida, que dará respuesta inmediata a casos de alto riesgo identificados a través de la Línea 155 y demás canales de denuncia en todo el país, bajo el liderazgo de la Policía Nacional y con el apoyo de las Consejerías Presidenciales para la Equidad de la Mujer y para la Seguridad. El trabajo será coordinado con Fiscalía, Procuraduría, Defensoría del Pueblo, Ejército, ICBF y los ministerios del Interior, Defensa y Justicia.",http://www.equidadmujer.gov.co/prensa/2019/Paginas/Gobierno-anuncia-Sistema-Prevencion-temprana-violencias-contra-mujeres-frenar-altas-tasas-feminicidio.aspx
01/06/2020,Colombia,Boletín de respuesta Institucional y estadístico para el Abordaje de Integral de las violencias por razones de género (NNA y Mujeres) durante el aislamiento preventivo obligatorio de 25 de marzo al 21 de abril de 2020,Proyectos/Iniciativas,Un panorama general del comportamiento de las diferentes formas de violencia registradas entre el 25 de marzo al 21 de abril de los años 2019 y 2020.,https://www.medicinalegal.gov.co/documents/20143/522189/Violencias+contra+las+mujeres%2C+la+pandemia+histo%CC%81rica+I.pdf
21/04/2020,Colombia,Orientaciones técnicas para abordar los efectos de la pandemia por COVID-19 en la fecundidad,Proyectos/Iniciativas,Recomendaciones para la prevención y atención de la violencia física y violencia sexual ante la situación de permanencia en el entorno hogar.,https://www.minsalud.gov.co/Ministerio/Institucional/Procesos%20y%20procedimientos/GIPS25.pdf
01/03/2020,Colombia,Recomendaciones: ¿orientaciones para prevenir las violencias contra las mujeres en el entorno hogar durante la emergencia sanitaria por el COVID-19?,Productos/Recursos,Recomendaciones generales para prevenir las violencias durante el brote de COVID-19.,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/boletin-prevencion-violencias-mujeres.pdf
03/04/2020,Colombia,Resolución No. 520 de 3 abril de 2020. Asignación de recursos a casas y hogares de acogida,Proyectos/Iniciativas,Asignación y distribución de recursos para aumentar la capacidad de atención de hogares y refugios de acogidas en mujeres víctimas de violencia por entidades territoriales a nivel nacional.,https://www.minsalud.gov.co/Normatividad_Nuevo/Resoluci%C3%B3n%20No.595%20de%202020.pdf
27/07/2020,Colombia,Estrategia de prevención para convivencia sana en el hogar,Proyectos/Iniciativas,Campaña para Fortalecer relaciones familiares a través de la entrega de juegos lúdicos en zonas rurales. Entregar cerca 360 juegos de mesa de tipo familiar  a varias familias campesinas de diferentes zonas rurales de Colombia para fortalecer las relaciones familiares en torno a una actividad lúdica.,https://www.policia.gov.co/noticia/todos-contra-violencia-intrafamiliar
01/07/2020,Colombia,Estrategia de prevención para convivencia sana en el hogar,Proyectos/Iniciativas,"Gobierno anuncia diferentes estrategias para la prevención y atención de la violencia contra la mujer, en especial:
- la instalación de una sala de control y monitoreo exclusiva para combatir crímenes de violencias en contra de las mujeres, liderada por la Policía Nacional y Consejería Presidencial para la Equidad de la Mujer; 
- monitoreo permanente de los casos de violencia de género para prevenir y castigar feminicidios, violencia intrafamiliar y sexual contra mujeres y niñas por parte del consejo de Seguridad Nacional;
- plataforma tecnológica con inteligencia artificial para prevención, atención y seguimiento a casos de violencias en contra de mujeres, alojada en el Observatorio Colombiano de las Mujeres de la Consejería Presidencial para la Equidad de la Mujer;
- unificación de las líneas telefónicas encargadas de atender el tema;
- decreto para formalizar el Mecanismo Articulador para planes y proyectos de todos los ministerios y entidades nacionales para la promoción y garantía de los derechos de las mujeres que permitan la prevención y atención de violencias. Implementará una campaña nacional contra el machismo como herramienta para la prevención de violencias en toda la sociedad colombiana;
- a radicar ante el Congreso de la República un proyecto de ley para el fortalecimiento de las comisarías de familia; 
- implementación de protocolos para la prevención y atención del acoso sexual en las universidades de la mano del Ministerio de Educación Nacional; y, 
- programa para la estabilización socioeconómica de las mujeres víctimas de violencias.",http://www.derechoshumanos.gov.co/Prensa/2020/Documents/%28v16-jul%29%20INFORME%20CONSOLIDADO%202%20%28Covid-19%29.pdf
22/03/2020,Colombia,"Decreto No. 460 de 22 de marzo de 2020. Medidas para garantizar la prestación del servicio a cargo de las comisarias de familia, dentro del Estado de Emergencia Económica, Social y Ecológica",Política/Ley,"Establece servicios ininterrumpidos de la comisaría de familia, la obligación de generar protocolos de atención, establecer criterios de priorización, generar mecanismos de articulación entre otros. ",https://www.minjusticia.gov.co/Portals/0/Normatividad1/ActosAdministrativos/Decretos/2020/DECRETO%20460%20DEL%2022%20DE%20MARZO%20DE%202020.pdf
09/04/2020,Colombia,Patrulla en Casa,Proyectos/Iniciativas,"Campañas para prevenir casos de violencia contra la mujer, familia y género. Los uniformados llevaban mensajes a las familias a través de perifoneo, donde hacían un llamado a la tolerancia, el respeto, la sana convivencia y la solución de conflictos a través del dialogo para evitar afectaciones a la integridad de las personas que conforman los hogares, generando espacios de conciliación, amor y armonía.",https://www.policia.gov.co/noticia/creado-grupo-especial-atencion-mujer-y-familia-patrulla-casa
26/06/2020,Colombia,Medidas para frenar la Violencia Contra las Mujeres,Planes y Programas,"8 Medidas para enfrentar la violencia contra las mujeres:  1) Instalación de una sala de control y monitoreo exclusiva para combatir crímenes de violencias en contra de las mujeres. 2) El Consejo de Seguridad incorporará la violencia del sector en el monitoreo periódico para atención y prevención de violencias 3)Plataforma tecnológica con inteligencia artificial para prevención, atención y seguimiento a casos de violencias en contra de mujeres,  4) Unificación de las líneas telefónicas encargadas de atender el tema de violencias 5)  Formalización el Mecanismo Articulador para planes y proyectos de todos los ministerios y entidades nacionales para la promoción y garantía de los derechos de las mujeres.  Se implementará campaña contra el Machismo. 6) Proyecto de ley para el fortalecimiento de las comisarías de familia 7).  Implementación de protocolos para la prevención y atención del acoso sexual en las universidades 8)Programa para la estabilización socioeconómica de las mujeres víctimas de violencias.",https://mlr.vicepresidencia.gov.co/Paginas/prensa/2020/Gobierno-arrecia-medidas-para-frenar-violencia-contra-las-mujeres.aspx
06/04/2020,Colombia,Protocolo durante el periodo de emergencia sanitaria. Fortalecimiento de Judicialización e investigación,Proyectos/Iniciativas,"La Fiscalía General de la Nación priorizó las investigaciones relacionadas con violencia basada en género, con el propósito de avanzar en la efectiva judicialización de los responsables y garantizar la protección de las víctimas. ",https://www.fiscalia.gov.co/colombia/noticias/fiscalia-fortalece-investigacion-y-judicializacion-de-hechos-de-violencia-basada-en-genero-durante-el-periodo-de-aislamiento-preventivo/
07/05/2020,Colombia,Boletín No. 7 de 14 de mayo de 2020,Productos/Recursos,Boletín estadístico con las llamadas para la orientación de mujeres en condición de vulnerabilidad a nivel nacional desagregados por tipo de orientación y región.,https://mlr.vicepresidencia.gov.co/Documents/-15052020--461570121-Boletin-Observatorio-Colombiano-de-Las-Mujeres-14-Mayo.pdf
01/05/2020,Colombia,Recomendaciones para la atención a personas que consumen bebidas alcohólicas en el marco de la emergencia sanitaria por COVID-19,Proyectos/Iniciativas,"Recomendaciones para las diferentes poblaciones, dirigidas a las personas en general que no consumen alcohol; a personas que consumen alcohol sin patrones problemáticos; a personas con trastornos por consumo de alcohol y dependencia; dirigidas a redes de apoyo y a otros actores en la comunidad.",https://www.minsalud.gov.co/Ministerio/Institucional/Procesos%20y%20procedimientos/GIPS28.pdf
02/07/2020,Colombia,Boletín estadístico de llamadas de atención telefónica a mujeres en el contexto del aislamiento,Productos/Recursos,Boletín estadístico de llamadas de atención telefónica a mujeres en el contexto del aislamiento.,http://www.equidadmujer.gov.co/oag/Documents/linea-155-boletin-15.pdf
30/08/2020,Colombia,Portal de datos abiertos,Productos/Recursos,"Datos abiertos de todos los procesos, víctimas.",https://www.datos.gov.co/browse?q=fiscalia%20spoa&sortBy=relevance
14/08/2020,Colombia,Delitos de violencia doméstica,Productos/Recursos,Visualización de delitos de violencia doméstica por año y tipo de violencia.,https://app.powerbi.com/view?r=eyJrIjoiNWQ0NTA4NmEtMjdiYi00MmUyLWE4Y2YtMGU4NzYxNTBhY2EwIiwidCI6ImE2MmQ2YzdiLTlmNTktNDQ2OS05MzU5LTM1MzcxNDc1OTRiYiIsImMiOjR9
18/08/2020,Colombia,Estadísticas en tiempos de COVID-19,Productos/Recursos,"Violencias Fatales y No Fatales según año y sexo de la víctima. Colombia, comparativo marzo 25 a Agosto 18, años 2019 y 2020.",https://www.medicinalegal.gov.co/violencias-en-tiempos-de-covid
17/03/2020,Costa Rica,Ampliación atención a mujeres víctimas de violencia por medio de líneas telefónicas,Proyectos/Iniciativas,Personal del INAMU reforzará atenciones y orientará en materia de derechos y violencia. Citas de la Delegación de la Mujer serán de manera telefónica.,https://www.presidencia.go.cr/comunicados/2020/03/inamu-amplia-atencion-a-mujeres-victimas-de-violencia-por-medio-de-lineas-telefonicas-en-contexto-de-emergencia-por-covid-19/
08/05/2020,Costa Rica,"Folleto informativo ""Seguimos pendiente de vos""",Proyectos/Iniciativas,"Folleto con información e indicaciones para atención en caso de sufrir violencia doméstica. La disponibilidad de los servicios continua de forma regular. Campaña, spot, radio. ",http://www.seguimospendientesdevos.inamu.go.cr/Seguimos-pendiente-de-vos-doc.pdf
07/05/2020,Costa Rica,"Campaña: ""Seguimos pendiente de vos""",Proyectos/Iniciativas,"La campaña ¡Seguimos pendientes de vos! incluye piezas de comunicación para redes sociales, radio y televisión que informan de los servicios de apoyo y denuncia ante situaciones de violencia contra la mujer. Asimismo, incluye un folleto descargable que reúne toda la información y dispone de todo el material en el sitio web de la campaña, en las redes sociales del INAMU y del Fondo de Población de Naciones Unidas (UNFPA) Costa Rica.",http://www.seguimospendientesdevos.inamu.go.cr/
01/04/2020,Costa Rica,Lineamientos para redes locales de prevención y atención de la violencia contra las mujeres y la violencia intrafamiliar,Proyectos/Iniciativas,"Recomendaciones para las redes locales para la atención y prevención de la violencia contra las mujeres e intrafamiliar.  Entre ellas destacan continuidad de los servicios, recopilación y divulgación de la información, crear campañas y divulgar las líneas telefónicas. ",https://www.ccss.sa.cr/web/coronavirus/assets/materiales/personal/lineamientos/275.pdf
01/03/2020,Costa Rica,"Guía para la Fuerza Pública de Costa Rica para la protección de las personas con discapacidad contra la violencia intrafamiliar y en espacios públicos, en la emergencia del COVID-19",Proyectos/Iniciativas,"Guía para la Fuerza Pública de Costa Rica para la protección de las personas con discapacidad contra la violencia intrafamiliar y en espacios públicos, en la emergencia del COVID-19. ",https://www.seguridadpublica.go.cr/coronavirus/documentos/manual_institucional_prevencion_atencion_COVID-19.pdf
28/07/2020,Costa Rica,Línea de apoyo para hombres - estrategias de prevención de violencia,Productos/Recursos,Infografía de prevención para comportamientos violentos de hombres.  Disponibilidad de líneas para atención de hombres durante pandemia. ,http://www.planovicr.org/caja-herramientas/linea-de-apoyo-para-hombres-wem
11/04/2020,Costa Rica,Excepción de la aplicación de multas por incumplimiento de medidas sanitarias,Política/Ley,Excepción de la aplicación de multas por incumplimiento de medidas sanitarias.,https://www.imprentanacional.go.cr/pub/2020/04/11/ALCA83_11_04_2020.pdf
01/03/2020,Costa Rica,"Lineamientos generales para la atención diaria en Centros que brindan Servicios de Atención a Mujeres Víctimas de Violencia, sus Hijas e Hijos",Proyectos/Iniciativas,"Lineamientos generales para la atención diaria en Centros que brindan Servicios de Atención a Mujeres Víctimas de Violencia, sus Hijas e Hijos.",https://www.ministeriodesalud.go.cr/sobre_ministerio/prensa/docs/lineamientos_atencion_personas_ceaam_v1_20032020.pdf
30/03/2020,Costa Rica,"56 medidas que derivan de la mesa de Protección Social para la atención de población vulnerable (NNA, mujeres, indígenas, otros)",Planes y Programas,"Medidas institucionales para la protección social durante la pandemia (mujeres, personas con discapacidad, menores de edad, población indígena, personas en situación de calle; familias en condición de pobreza).",https://www.imas.go.cr/es/comunicado/gobierno-presenta-medidas-de-primera-respuesta-en-materia-de-proteccion-social
03/07/2020,Cuba,Guía de intervención integral a la violencia de género e intrafamiliar en condiciones de aislamiento social o cuarentena ante COVID-19,Planes y Programas,"Tiene como principio de trabajo la articulación y movilización de actores comunitarios bajo la dirección del Consejo Popular, o de Defensa de la Zona, en caso de estar activado.",http://www.mujeres.co.cu/art.php?MTM2ODg=
09/06/2020,Cuba,Servicios de prevención y atención a las violencias basadas en género como parte de la respuesta nacional a la COVID-19,Proyectos/Iniciativas,"Las líneas telefónicas de la Fiscalía, la Policía y el MINSAP han ampliado los servicios que brindan y están funcionando las 24 horas. ",https://lac.unfpa.org/es/news/cuba-ofrece-servicios-de-prevenci%C3%B3n-y-atenci%C3%B3n-las-violencias-basadas-en-g%C3%A9nero-como-parte-de-0
22/04/2020,Dominica,National Psychosocial Support Hotline,Proyectos/Iniciativas,"Disponibilidad de línea telefónica para atención y apoyo psicosocial. Incluye atención y consejos para casos de violencia domestica, ansiedad entre otros. ",https://m.facebook.com/bureauofgenderaffairs/photos/a.901269576623282/2938467259570160/?type=3&source=54
01/07/2020,Ecuador,Activación del Sistema Integral de Protección a víctimas de Violencia ,Proyectos/Iniciativas,"Activación del Sistema de Protección Integral de víctimas de violencia con: Juntas Cantonales de Protección de Derechos, Fiscalía, Ministerio de Gobierno, reportes de ciudadanía en general. Atención a víctimas de violencia a través del Sistema Integral de Protección a víctimas de Violencia.  Promoción de campaña de difusión para la prevención de violencia intrafamiliar. ",https://www.gestionderiesgos.gob.ec/wp-content/uploads/2020/07/Informe-de-Situaci%C3%B3n-No051-Casos-Coronavirus-Ecuador-10072020-1.pdf
12/03/2020,Ecuador,Monitoreo de las denuncias recibidas al sistema de emergencia ECU 911 según categoría que incluyen violencia intrafamiliar,Proyectos/Iniciativas,Sistema estadístico de llamadas de emergencia por violencia intrafamiliar al ECU 911.,https://app.powerbi.com/view?r=eyJrIjoiMTRiZGFiMzQtMjdlZS00YTI4LWE2MWUtNDllNzcwZDdhNzA3IiwidCI6IjczOWQ4ZGFiLWJjZDEtNDc0NS05Y2JkLWNlZGI0OTE3ZWNjNCIsImMiOjR9
20/04/2020,Ecuador,Denuncias por delitos relacionados a violencia contra las mujeres y su núcleo familiar de forma virtual,Proyectos/Iniciativas,La Fiscalía General del Estado (FGE) abrió la posibilidad de interponer a través de su página web www.fiscalia.gob.ec denuncias por delitos relacionados a violencia contra las mujeres y su núcleo familiar.,https://www.fiscalia.gob.ec/denuncia-en-linea-violencia-contra-la-mujer/
15/05/2020,Ecuador,"Lineamientos del Consejo Nacional para la igualdad de género frente a la crisis sanitaria, para su implementación en las instituciones del Estado",Planes y Programas,"Ofrece un diagnóstico en las diferentes áreas de políticas públicas y establece lineamientos generales para afrontar la crisis en educación y acceso a tics, empleo, mitigación de la pobreza, violencia basada en género, participación y comunicación.",https://www.igualdadgenero.gob.ec/wp-content/uploads/downloads/2020/05/LINEAMIENTOS-CNIG-CRISIS-SANITARIA-15-MAYO-2020.pdf
01/03/2020,Ecuador,Campaña: #MujerEcuadorTeAcompaña ,Proyectos/Iniciativas,Campaña de prevención y sensibilización para identificar y denunciar casos de violencia intrafamiliar.,https://www.instagram.com/p/B_IMGHUDVmV/
01/04/2020,Ecuador,Campaña: “Convivencia sin violencia”,Proyectos/Iniciativas,"La Policía Nacional del Ecuador, Departamento de Violencia Intrafamiliar (Devif), Dirección Nacional de Policía Especializada para niños, niñas y adolescentes (Dinapen) desarrolla a nivel nacional la campaña “Convivencia sin violencia” e implementa estrategias para atención a víctimas de violencia intrafamiliar, mientras dure la emergencia sanitaria en el país.",https://www.policia.gob.ec/policia-nacional-desarrolla-campana-convivencia-sin-violencia/
16/03/2020,Ecuador,Campaña: “Alertas silenciosas para identificar casos de violencia intrafamiliar en unidades educativas durante las clases en línea”,Proyectos/Iniciativas,"La Policía Nacional del Ecuador, a través del Departamento de Violencia Intrafamiliar (Devif) y Ministerio de Educación, a partir del pasado 21 de mayo, desarrolla la campaña denominada Alertas silenciosas  para identificar casos de violencia intrafamiliar en unidades educativas durante las clases en línea.",https://www.policia.gob.ec/policia-nacional-desarrolla-campana-alertas-silenciosas-para-identificar-casos-de-violencia-intrafamiliar-en-unidades-educativas-durante-las-clases-en-linea/
22/03/2020,Ecuador,Lineamientos de atención en casos de “Violencia Intrafamiliar” durante la emergencia sanitaria,Proyectos/Iniciativas,"Procedimiento a seguir para presentar denuncias de violencia intrafamiliar y descripción de las acciones policiales que incluyen,  atención psicológica de la víctima, desalojo del agresor y patrullaje domiciliario.",https://www.policia.gob.ec/lineamientos-de-atencion-en-casos-de-violencia-intrafamiliar-durante-la-emergencia-sanitaria/
01/05/2020,Ecuador,Informe: La comunicación como estrategia de prevención de la violencia intrafamiliar y de género durante la emergencia sanitaria por COVID-19,Proyectos/Iniciativas,Informe de la campaña digital #MujerEcuadorTeAcompaña activa desde el 18 de marzo sobre la prevención y difusión de servicios de atención y apoyo a víctimas de violencia intrafamiliar.        ,https://www.derechoshumanos.gob.ec/wp-content/uploads/2020/05/INFORME-DE-COMUNICACION-03-.pdf
10/05/2020,Ecuador,Protección de derechos en línea,Proyectos/Iniciativas,"En el marco de la emergencia sanitaria, la Defensoría del Pueblo pone a disposición el sistema de protección en línea para denunciar afectaciones a los derechos humanos. También se puede solicitar asesoría con expertos en derechos humanos. ",https://portal.dpe.gob.ec/?page_id=7041
01/05/2020,Ecuador,Protocolo de comunicación y atención de casos de violencia de género e intrafamiliar durante la Emergencia Sanitaria por COVID-19,Planes y Programas,Establecer el procedimiento de comunicación y atención de casos de violencia de genero e intrafamiliar durante la Emergencia Sanitaria por COVID-19.,https://www.igualdadgenero.gob.ec/wp-content/uploads/2020/05/Protocolo-de-atenci%C3%B3n-violencia.pdf
20/03/2020,Ecuador,Sistema especial de atención para las víctimas de violencia,Proyectos/Iniciativas,"El Consejo de la Judicatura, a través de sus direcciones provinciales, implementó un sistema especial de atención para las víctimas de violencia, mientras dura la emergencia sanitaria COVID -19. El Consejo habilitó, a escala nacional, 164 unidades judiciales para atender casos flagrantes de violencia contra las mujeres y miembros del núcleo familiar.",http://www.funcionjudicial.gob.ec/index.php/es/saladeprensa/noticias/item/8229-en-la-emergencia-sanitaria-consejo-de-la-judicatura-garantiza-atenci%C3%B3n-judicial-para-v%C3%ADctimas-de-violencia.html
14/03/2020,Ecuador,"Resolución 028-2020 del Consejo de la Judicatura. Restricciones del ingreso y atención al público en las dependencias judiciales en el territorio nacional, debido a la emergencia sanitaria por COVID-19",Proyectos/Iniciativas,"Se restringe el ingreso y atención al público por la emergencia sanitaria  con excepción de casos de violencia doméstica, flagrancia penal y garantías penitenciarias.",http://www.funcionjudicial.gob.ec/www/pdf/resoluciones/2020/028-2020.pdf
14/03/2020,Ecuador,Protocolo para atención a víctimas de violencia de género bajo la modalidad de teletrabajo,Productos/Recursos,Protocolo que recoge los procedimientos a seguir para la atención integral a víctimas de violencia bajo la modalidad de teletrabajo en el marco de la emergencia sanitaria por COVID-19 y los casos de violencia de género reportados por el ECU-911. ,https://www.derechoshumanos.gob.ec/wp-content/uploads/2020/06/FOLLETO-PROTOCOLO-04_compressed.pdf
01/07/2020,Ecuador,Femicidios por mes,Productos/Recursos,Estadísticas de femicidios.,https://www.sernameg.gob.cl/?page_id=27084
30/06/2020,Ecuador,Estadísticas de violencia contra la mujer,Productos/Recursos,Estadísticas de violencia contra la mujer que contienen las cifras de femicidios actualizadas a junio de 2020.,https://www.fiscalia.gob.ec/conformacion-del-subcomite-tecnico-de-validacion-de-femicidios/
21/04/2020,El Salvador,Centro de atención telefónico 24H - Línea 198,Proyectos/Iniciativas,"Número #198 para atención y orientación judicial sobre casos de violencia intrafamiliar, 7 días a la semana, 24 horas. ",http://www.csj.gob.sv/198_CSJ.html
25/06/2020,El Salvador,Número telefónico en casos de violencia contra las mujeres,Proyectos/Iniciativas,Número telefónico de WhatsApp y correo electrónico para atender  en casos de violencia contra las mujeres.,http://www.isdemu.gob.sv/images/phocadownload/Posiciona_avisos2020/Contactos_Emerg.COVID.pdf
31/03/2020,El Salvador,Guía para personas naturales sobre la remisión documentos correspondientes al pago de cuotas alimenticias,Proyectos/Iniciativas,Guía  a paso a paso para realizar los pagos de pensión alimenticia mientras dure la cuarentena. Establece el proceso de notificación a las autoridades y los correos del personal donde remitir la información según dependencia. ,http://www.informacionpublicapgr.gob.sv/descargables/BFA-PGR-PersonasNaturales.pdf
14/03/2020,El Salvador,Rendición de cuentas del 14 de marzo al 14 de mayo de 2020,Proyectos/Iniciativas,"El documento contiene un resumen de las principales acciones de la procuraduría con perspectiva de género para prevenir y atender situaciones de violencia intrafamiliar. 
- Participación o en entrevistas televisivas y radiales, moderación de foros internacionales, asistencia en mesas de trabajo
-Campañas de prevención. 
- ej. Métele un gol  al Machismo. ",http://www.pgr.gob.sv/documentos/InformeRendicionCuentasPGRPeriodoEmergencia.pdf
14/03/2020,El Salvador,"Medidas de prevención, atención y protección ante la emergencia por parte de la Procuraduría General de la República",Proyectos/Iniciativas,"Diseño de un protocolo de atención telefónica y digital, para facilitar atención psicológica en crisis a las mujeres víctimas de violencia. Activación de Mecanismos interinstitucionales de atención: 
-Coordinación con Juzgados de Paz y de Instrucción Vida Libre de Violencia.
- Asociación de Mujeres por la Dignidad y la Vida Las Dignas.
- Coordinación con Unimujer ODAC.
- Continuidad en forma virtual de grupos de autoayuda a través de la Unidad de atención especializada para las Mujeres y Psicosocial. 
- Disposición diversas líneas telefónicas",http://www.pgr.gob.sv/documentos/InformeRendicionCuentasPGRPeriodoEmergencia.pdf
01/06/2020,El Salvador,"Informe preliminar sobre COVID-19 y Derechos Humanos, en El Salvador",Productos/Recursos,Informe que presenta la situación de los derechos humanos durante los primeros meses de la pandemia. Con relación a la violencia doméstica se evidencia vulneraciones a los derechos humanos referentes a: Desalojo por la falta de pago durante la emergencia nacional por COVID-19;  Falta de medidas de prevención del abuso y la violencia intrafamiliar.,https://www.pddh.gob.sv/portal/wp-content/uploads/2020/06/informe-preliminar-junio-2020.pdf
21/08/2020,Guatemala,Datos estadísticos sobre la línea de atención exclusiva para violencia contra las mujeres,Productos/Recursos,Datos estadísticos sobre la línea de atención exclusiva para violencia contra las mujeres.,http://observatorio.mp.gob.gt/linea-1572/
30/08/2020,Guatemala,Portal estadístico sobre violencia contra las mujeres ,Productos/Recursos,"Datos sobre sentencias, medidas, denuncias y delitos contra las mujeres. Incluyen visualización de los casos.",http://observatorio.mp.gob.gt/portal-estadistico/
15/06/2020,Guatemala,"Campaña: ""No podemos salir, pero sí denunciar""",Proyectos/Iniciativas,"El objetivo principal de la campaña es promover la prevención y respuesta oportuna en casos de violencia sexual contra mujeres, niñas, niños y adolescentes, en el marco de las condiciones de confinamiento a nivel mundial durante la pandemia por COVID-19.",https://www.svet.gob.gt/noticias/svet-oxfam-guatemala-y-suecia-en-guatemala-lanzan-la-campa%C3%B1a-no-podemos-salir-pero-s%C3%AD
22/07/2020,Guatemala,Resolución POJ-61/2020,Proyectos/Iniciativas,Excepción a suspensión de funciones de los tribunales de familia de primera instancia. Se mantienen en funcionamiento Juzgados de Familia para atender situaciones de violencia intrafamiliar.,http://www.oj.gob.gt/Archivos/ImagenesSlidersPrincipales/InformacionCorona/Documentos/Disposicio%CC%81n%20POJ-61-2020.pdf
14/05/2020,Guatemala,Medidas de prevención por violencia intrafamiliar,Proyectos/Iniciativas,Fortalecimiento de las medidas de prevención de delitos de violencia contra la mujer e intrafamiliar con afiches y materiales para visuales para reconocer la violencia y conocer los lugares para denunciar. ,https://mingob.gob.gt/fortalecen-medidas-de-prevencion-por-violencia-intrafamiliar/
27/05/2020,Guatemala,"Campaña: ""No más Violencia contra la mujer e intrafamiliar”",Proyectos/Iniciativas,"Difusión de spots preventivos para concientizar a la ciudadanía de cesar la violencia contra los niños, niñas y adolescentes, la violencia intrafamiliar, la violencia contra la mujer, la violencia sexual y la explotación y trata de personas. Adicionalmente, se han dispuesto afiches y stickers alusivos a la prevención del COVID-19, a la cultura de denuncia, a la prevención de la violencia intrafamiliar y violencia contra la Mujer.",https://mingob.gob.gt/lanzan-spots-para-prevenir-violencia-intrafamiliar/
09/04/2020,Guyana,Responding to Domestic Violence During COVID-19,Proyectos/Iniciativas,"El ministerio de Protección Social, Delitos Sexuales y Unidad de Violencia Doméstica pone a disposición línea de ayuda 24 horas, WhatsApp, correo electrónico y números telefónicos para brindar apoyo a las mujeres víctimas de violencia doméstica. ",https://mosp.gov.gy/responding-to-domestic-violence-during-covid-19/
11/06/2020,Honduras,Boletín especial con informaciones y acciones durante COVID-19 en junio,Productos/Recursos,Boletín estadístico con el comportamiento de llamadas y denuncias recibidas durante la pandemia.   Incluye informe de actividades y capacitaciones realizadas por INAMU.,http://www.inam.gob.hn/web/index.php?option=com_phocadownload&view=file&id=151:boletin-de-prensa-mayo&Itemid=110
20/04/2020,Honduras,Boletín especial con informaciones y acciones durante COVID-19 en mayo,Proyectos/Iniciativas,Atención virtual de los Módulos de Atención y Protección a los Derechos de la Mujer “MAPRODEM”.,http://www.inam.gob.hn/web/index.php?option=com_phocadownload&view=file&id=148:boletincovid&Itemid=110
12/05/2020,Honduras,Guía para sobrevivientes de violencia doméstica durante COVID-19,Proyectos/Iniciativas,"La guía enuncia las medidas tomadas para atender y proteger a las mujeres víctimas de la violencia doméstica. Pone a disposición números telefónicos de asistencia psicológica, legal, de casas de refugio, WhatsApp y comunica sobre medidas de acceso a la justicia. ",http://www.inam.gob.hn/web/index.php?option=com_phocadownload&view=file&id=146:violencia-covid-19&Itemid=110
31/05/2020,Honduras,Acuerdo No. PCSJ 33-2020. Medidas del Órgano Judicial ante COVID-19,Proyectos/Iniciativas,Se mantiene el funcionamiento de las instancias judiciales en caso de violencia doméstica ante la emergencia sanitaria. ,http://www.poderjudicial.gob.hn/SiteAssets/Paginas/Mayo2020/ACUERDOPCSJNo33-2020.pdf
27/03/2020,Honduras,Comunicado Secretaria de Seguridad de la Policía Nacional,Proyectos/Iniciativas,"La Secretaría de Seguridad de la Policía Nacional de Honduras determina sólo recibir denuncias por delitos en flagrancia, violencia doméstica y violencia intrafamiliar y desaparecidos. ",https://www.policianacional.gob.hn/noticias/5984
01/05/2020,Honduras,Informe estadístico delitos de violencia doméstica y llamadas de emergencia,Productos/Recursos,Estadísticas de denuncias por violencia doméstica desde el mes de enero hasta el mes de mayo de 2020.,http://www.inam.gob.hn/web/index.php?option=com_phocadownload&view=file&id=151:boletin-de-prensa-mayo&Itemid=110
14/07/2020,Jamaica,Spotlight Iniciativa Jamaica programme,Proyectos/Iniciativas,"El programa de Jamaica se centrará en: - establecer líneas telefónicas directas las 24 horas del día para las víctimas, incluidas líneas de texto para personas sordas y con discapacidad auditiva; - revisión y / o desarrollo de legislación para aumentar la protección de las personas vulnerables, como los niños y los ancianos; - así como la sensibilización permanente del público sobre la violencia de género.",https://jis.gov.jm/media/2020/07/Sect_20200714_Final-1.pdf
27/05/2020,Jamaica,Difusión de líneas de emergencias y medidas prácticas para las víctimas de abuso doméstico,Proyectos/Iniciativas,"Se han establecido dos centros en las Comisarías de Policía de Constant Spring y Matilda's Corner. Ofrecen asesoramiento profesional, referencias a agencias apropiadas y seguimientos con los clientes. Se puede llegar a los centros en los siguientes números – Policía de Constant Spring : 876-702-5120 o 876-702-5121; Policía de Matilda's Corner: 876-978-6003. Su horario de atención es de 8 a.m. a 5 p.m. de lunes a viernes.",https://www.facebook.com/permalink.php?story_fbid=2977796168983051&id=888408944588461
03/06/2020,Jamaica,Encuesta de violencia doméstica en COVID-19.  Spotlight,Productos/Recursos,"Encuesta sobre violencia doméstica durante COVID-19. Preguntas relativas a motivaciones para denunciar, prevalencia y relación de padres e hijos. ",https://blogs.unicef.org/jamaica/young-jamaicans-respond-to-domestic-abuse-in-covid-19/
